Project Status,Schedule Variance,Project Description,Milestone Description,Milestone Type,Milestone Indentifier,Project Status,Stage,Work Notes:,Actual/Schedule Finish,Baseline Date,Variance (d),Variance (%)
Requested,0%,Project 132,IMPLEMENT PHASE COMPLETE (GATE 2),Governance,Unassigned,Requested,3. Evaluate,Delay reason shown here,11/01/2027,11/01/2027,0,0.0%
Requested,N/A,Project 87,4.01 Sol'n Architecture Design (SAD) Sign Off,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.02 Functional Specification Sign Off (Opt),Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.03 HYB Team Charter (Opt),Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,07/07/2025,,,
Requested,N/A,Project 87,4.04 HYB Definition of Done,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,07/07/2025,,,
Requested,N/A,Project 87,4.00 Technical Sol'n Design Sign Off,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.08 Infrastructure Sol'n Design Sign Off,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.09 Test Plan Sign Off,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.10 Traceability Matrix Sign Off,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.11 Security Risk Assessment (SRA) Sign Off,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.12 Comms Plan Sign Off,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.13 Bus Change Readiness Assessment Complete,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.14 Detailed Service Design & Defn Onboard Pack,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.15 Detailed Change Impact Assessment Complete,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.00 ITSM Onboarding Checklist Complete,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.00 ICT Release Impact Assessment Complete,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,15/08/2025,,,
Requested,N/A,Project 87,4.00 P80 Cost Estimate Ready,Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,22/08/2025,,,
Requested,N/A,Project 87,ANALYSIS & DESIGN PHASE COMPLETE,Governance,Unassigned,Requested,2. Concept,Delay reason shown here,29/08/2025,,,
Requested,N/A,Project 87,4.16 GR Cyber Sec Change Consult Requested (Opt),Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,21/07/2025,,,
Requested,N/A,Project 87,4.17 GR Cyber Sec Sol'n Review Requested (Opt),Deliverable,Unassigned,Requested,2. Concept,Delay reason shown here,21/07/2025,,,
Requested,N/A,Project 87,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Requested,2. Concept,Delay reason shown here,05/06/2026,,,
Requested,N/A,Project 87,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Requested,2. Concept,Delay reason shown here,12/06/2026,,,
Requested,N/A,Project 87,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Requested,2. Concept,Delay reason shown here,19/06/2026,,,
Requested,N/A,Project 87,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Requested,2. Concept,Delay reason shown here,30/06/2026,,,
Requested,N/A,Project 158,2.00 Investment Brief (or Equivalent) Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,26/06/2025,,,
Requested,N/A,Project 158,2.00 Arch Review & Cyber Sec Assessment Ready,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,26/06/2025,,,
Requested,N/A,Project 158,2.00 Prioritisation Score Ready,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,26/06/2025,,,
Requested,N/A,Project 158,2.00 P20 Cost Estimate Ready,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,26/06/2025,,,
Requested,N/A,Project 158,CONCEPT PHASE COMPLETE (GATE 0),Governance,Project Kickoff,Requested,2. Concept,Delay reason shown here,26/06/2025,,,
Requested,0%,Project 172,3.14 Project Management Plan Sign Off,Deliverable,Project Kickoff,Requested,3. Evaluate,Delay reason shown here,30/04/2025,30/04/2025,0,0.0%
Requested,0%,Project 57,3.14 Project Management Plan Sign Off,Deliverable,Project Kickoff,Requested,3. Evaluate,Delay reason shown here,24/04/2025,24/04/2025,0,0.0%
Requested,N/A,Project 160,2.00 Investment Brief (or Equivalent) Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/04/2025,,,
Requested,N/A,Project 160,CONCEPT PHASE COMPLETE (GATE 0),Governance,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/04/2025,,,
Requested,N/A,Project 160,3.05 Business Impact Assessment Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,,,,
Requested,N/A,Project 160,3.17 Change on a Page Complete,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 160,3.18 Change Management Plan Complete,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 160,EVALUATE PHASE COMPLETE (GATE 1),Governance,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 161,2.00 Investment Brief (or Equivalent) Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/04/2025,,,
Requested,N/A,Project 161,2.00 Prioritisation Score Ready,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/04/2025,,,
Requested,N/A,Project 161,CONCEPT PHASE COMPLETE (GATE 0),Governance,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/04/2025,,,
Requested,N/A,Project 161,3.05 Business Impact Assessment Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 161,3.14 Project Management Plan Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 161,3.17 Change on a Page Complete,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 161,3.18 Change Management Plan Complete,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 161,3.20 Test Strategy Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 161,EVALUATE PHASE COMPLETE (GATE 1),Governance,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,N/A,Project 161,3.19 GR Service Design & Definition Team Engaged,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,,,
Requested,-10% to -5%,Project 159,2.00 Investment Brief (or Equivalent) Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/04/2025,31/03/2025,-19,-6.7%
Requested,-10% to -5%,Project 159,CONCEPT PHASE COMPLETE (GATE 0),Governance,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/04/2025,31/03/2025,-19,-6.7%
Requested,-10% to -5%,Project 159,3.06 Business Requirements Document Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,17/04/2025,-28,-9.9%
Requested,-25% to -10%,Project 159,3.17 Change on a Page Complete,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,14/04/2025,-31,-11.0%
Requested,-25% to -10%,Project 159,3.18 Change Management Plan Complete,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,14/04/2025,-31,-11.0%
Requested,-10% to -5%,Project 159,3.20 Test Strategy Sign Off,Deliverable,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,17/04/2025,-28,-9.9%
Requested,-10% to -5%,Project 159,EVALUATE PHASE COMPLETE (GATE 1),Governance,Project Kickoff,Requested,2. Concept,Delay reason shown here,30/05/2025,30/04/2025,-22,-7.8%
Requested,-5% to 0%,Project 144,EVALUATE PHASE COMPLETE (GATE 1),Governance,Project Kickoff,Requested,3. Evaluate,Delay reason shown here,01/04/2025,28/02/2025,-22,-4.3%
Open/Active,<-25%,Project 46,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,24/12/2025,01/03/2024,-452,-26.4%
Open/Active,-5% to 0%,Project 151,CIS Applications Migration Build & Test Complete,Governance,Yes,Open/Active,5. Build & Test,Delay reason shown here,17/04/2025,31/03/2025,-13,-0.8%
Open/Active,0%,Project 151,CIS Applications Mig'n Implementation & GO LIVE,Governance,Go-Live,Open/Active,5. Build & Test,Delay reason shown here,19/05/2025,19/05/2025,0,0.0%
Open/Active,0%,Project 132,PROJECT CLOSED (GATE 3): Stage 1,Deliverable,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,05/03/2027,05/03/2027,0,0.0%
Open/Active,0%,Project 132,Implement Archiving Solution,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,24/12/2026,24/12/2026,0,0.0%
Open/Active,0%,Project 165,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Open/Active,5. Build & Test,Delay reason shown here,31/08/2026,31/08/2026,0,0.0%
Open/Active,0%,Project 123,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,01/07/2025,01/07/2025,0,0.0%
Open/Active,0%,Project 123,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,02/07/2025,02/07/2025,0,0.0%
Open/Active,0%,Project 123,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,02/07/2025,02/07/2025,0,0.0%
Open/Active,0%,Project 123,6.03 Go Live Readiness Complete,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,08/04/2025,08/04/2025,0,0.0%
Open/Active,-5% to 0%,Project 123,6.05 Service Design & Definition Complete (Opt),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/04/2025,05/03/2025,-19,-3.2%
Open/Active,0%,Project 123,ANALYSIS & DESIGN PHASE 3 COMPLETE,Governance,Unassigned,Open/Active,6. Implement,Delay reason shown here,19/05/2025,19/05/2025,0,0.0%
Open/Active,0%,Project 123,BUILD & TEST PHASE 3 COMPLETE,Governance,Unassigned,Open/Active,6. Implement,Delay reason shown here,18/06/2025,18/06/2025,0,0.0%
Open/Active,0%,Project 123,IMPLEMENT PHASE 3 COMPLETE,Governance,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/07/2025,01/07/2025,0,0.0%
Open/Active,0%,Project 121,5.00 ICT Release Board Approval (CAB),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,25/07/2025,25/07/2025,0,0.0%
Open/Active,0%,Project 121,6.03 Go Live / Prod Readiness Checklist Complete,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,25/07/2025,25/07/2025,0,0.0%
Open/Active,0%,Project 121,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,31/10/2025,31/10/2025,0,0.0%
Open/Active,0%,Project 121,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,31/10/2025,31/10/2025,0,0.0%
Open/Active,N/A,Project 46,GR5.07 Cyber Sec Test Support Requested (Opt),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/09/2025,,,
Open/Active,N/A,Project 46,5.01 Test Cases Sign Off,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/09/2025,,,
Open/Active,N/A,Project 46,5.02 Test Summary Report/Cert Sign Off,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,19/09/2025,,,
Open/Active,N/A,Project 46,5.03 Release Review Complete (Opt),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,12/09/2025,,,
Open/Active,N/A,Project 46,5.04 Training Management Plan Sign Off (Opt),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,19/09/2025,,,
Open/Active,N/A,Project 46,5.06 Release Requested (Opt),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/09/2025,,,
Open/Active,N/A,Project 46,5.00 ICT Release Board Approval (CAB),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,22/09/2025,,,
Open/Active,N/A,Project 46,BUILD & TEST PHASE COMPLETE,Governance,Unassigned,Open/Active,6. Implement,Delay reason shown here,30/09/2025,,,
Open/Active,N/A,Project 46,GR6.07 Cyber Sec Pre-Rel. Review Complete (Opt),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/10/2025,,,
Open/Active,N/A,Project 46,6.02 Implementation Plan Complete,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,03/11/2025,,,
Open/Active,N/A,Project 46,6.00 Application Handover Checklist Complete,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,14/11/2025,,,
Open/Active,N/A,Project 46,6.03 Go Live / Prod Readiness Checklist Complete,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/12/2025,,,
Open/Active,N/A,Project 46,HYB6.04 Release Retrospective Complete,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,03/11/2025,,,
Open/Active,N/A,Project 46,6.05 Service Design & Def'n & Onb'ding Complete,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,28/11/2025,,,
Open/Active,N/A,Project 46,6.06 New Form for Creating New Service (IT Catal.),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,05/12/2025,,,
Open/Active,N/A,Project 46,BUSINESS GO LIVE (R4 Dates to be Built in),Deliverable,Go-Live,Open/Active,6. Implement,Delay reason shown here,24/12/2025,,,
Open/Active,N/A,Project 46,IMPLEMENT PHASE COMPLETE (GATE 2),Governance,Unassigned,Open/Active,6. Implement,Delay reason shown here,24/12/2025,,,
Open/Active,N/A,Project 46,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,24/12/2025,,,
Open/Active,N/A,Project 46,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,24/12/2025,,,
Open/Active,N/A,Project 46,7.03 Closure Checklist & Memo Sign Off,Deliverable,Gate 3 Approval,Open/Active,6. Implement,Delay reason shown here,24/12/2025,,,
Open/Active,-5% to 0%,Project 123,5.02 Test Summary Report/Cert Sign Off,Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/04/2025,31/03/2025,-1,-0.2%
Open/Active,-5% to 0%,Project 123,5.06 Release Requested (Opt),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/04/2025,10/03/2025,-16,-2.7%
Open/Active,-5% to 0%,Project 123,5.00 ICT Release Board Approval (CAB),Deliverable,Unassigned,Open/Active,6. Implement,Delay reason shown here,01/05/2025,28/03/2025,-21,-3.6%
Open/Active,0%,Project 132,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,10/02/2027,10/02/2027,0,0.0%
Open/Active,0%,Project 132,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,13/01/2027,13/01/2027,0,0.0%
Open/Active,0%,Project 132,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,03/03/2027,03/03/2027,0,0.0%
Open/Active,-5% to 0%,Project 132,EVALUATE PHASE COMPLETE (GATE 1),Governance,Project Kickoff,Open/Active,3. Evaluate,Delay reason shown here,22/04/2025,26/02/2025,-37,-1.6%
Open/Active,0%,Project 137,EVALUATE PHASE COMPLETE (GATE 1),Governance,Project Kickoff,Open/Active,3. Evaluate,Delay reason shown here,17/04/2025,17/04/2025,0,0.0%
Open/Active,0%,Project 137,3.19 GR Service Design & Definition Team Engaged,Deliverable,Project Kickoff,Open/Active,3. Evaluate,Delay reason shown here,31/07/2025,31/07/2025,0,0.0%
Open/Active,0%,Project 92,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,30/09/2025,30/09/2025,0,0.0%
Open/Active,0%,Project 92,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,30/09/2025,30/09/2025,0,0.0%
Open/Active,0%,Project 157,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Open/Active,4. Analyse & Design,Delay reason shown here,05/02/2027,05/02/2027,0,0.0%
Open/Active,0%,Project 157,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Open/Active,4. Analyse & Design,Delay reason shown here,12/02/2027,12/02/2027,0,0.0%
Open/Active,0%,Project 157,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Open/Active,4. Analyse & Design,Delay reason shown here,19/02/2027,19/02/2027,0,0.0%
Open/Active,0%,Project 157,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Open/Active,4. Analyse & Design,Delay reason shown here,26/02/2027,26/02/2027,0,0.0%
Open/Active,-5% to 0%,Project 157,4.01 Sol'n Architecture Design (SAD) Sign Off,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,04/04/2025,26/02/2025,-27,-3.9%
Open/Active,-5% to 0%,Project 157,4.02 Functional Specification Sign Off (Opt),Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,04/04/2025,27/02/2025,-26,-3.7%
Open/Active,-10% to -5%,Project 157,4.00 Technical Sol'n Design Sign Off,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,11/04/2025,21/02/2025,-35,-5.0%
Open/Active,-10% to -5%,Project 157,4.08 Infrastructure Sol'n Design Sign Off,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,11/04/2025,21/02/2025,-35,-5.0%
Open/Active,-25% to -10%,Project 157,4.09 Test Plan Sign Off,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,31/07/2025,14/02/2025,-115,-16.5%
Open/Active,-10% to -5%,Project 157,4.10 Traceability Matrix Sign Off,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,11/04/2025,14/02/2025,-40,-5.7%
Open/Active,-10% to -5%,Project 157,4.11 Security Risk Assessment (SRA) Sign Off,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,11/04/2025,31/01/2025,-50,-7.2%
Open/Active,<-25%,Project 157,4.14 Detailed Service Design & Defn Onboard Pack,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,31/10/2025,21/02/2025,-175,-25.1%
Open/Active,<-25%,Project 157,4.00 ITSM Onboarding Checklist Complete,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,28/11/2025,13/02/2025,-201,-28.8%
Open/Active,<-25%,Project 157,4.00 ICT Release Impact Assessment Complete,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,14/11/2025,14/02/2025,-190,-27.2%
Open/Active,-5% to 0%,Project 157,4.00 P80 Cost Estimate Ready,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,01/04/2025,27/02/2025,-23,-3.3%
Open/Active,-5% to 0%,Project 157,ANALYSIS & DESIGN PHASE COMPLETE,Governance,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,11/04/2025,28/02/2025,-30,-4.3%
Open/Active,0%,Project 157,5.07 GR Cyber Sec Test Support Requested (Opt),Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,13/10/2025,13/10/2025,0,0.0%
Open/Active,0%,Project 157,5.01 Test Cases Sign Off,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,03/11/2025,03/11/2025,0,0.0%
Open/Active,0%,Project 157,5.02 Test Summary Report/Cert Sign Off,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,21/11/2025,21/11/2025,0,0.0%
Open/Active,0%,Project 157,5.03 HYB Release Review Complete (Opt),Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,13/10/2025,13/10/2025,0,0.0%
Open/Active,0%,Project 157,5.04 Training Management Plan Sign Off (Opt),Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,01/10/2025,01/10/2025,0,0.0%
Open/Active,0%,Project 157,5.06 Release Requested (Opt),Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,03/11/2025,03/11/2025,0,0.0%
Open/Active,0%,Project 157,5.05 Service Continuity Runbook Complete,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,14/11/2025,14/11/2025,0,0.0%
Open/Active,0%,Project 157,5.00 ICT Release Board Approval (CAB),Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,12/11/2025,12/11/2025,0,0.0%
Open/Active,0%,Project 157,BUILD & TEST PHASE COMPLETE,Governance,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,28/11/2025,28/11/2025,0,0.0%
Open/Active,0%,Project 157,6.07 GR Cyber Sec Pre-Rel. Review Complete (Opt),Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 157,6.02 Implementation Plan Complete,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 157,6.03 Go Live / Prod Readiness Checklist Complete,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 157,6.04 HYB Release Retrospective Complete,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 157,6.05 Service Design & Def'n & Onb'ding Complete,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 157,6.06 New Form for Creating New Service (IT Catal.),Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 157,6.00 Application Handover Checklist Complete,Deliverable,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 157,GO LIVE,Deliverable,Go-Live,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 157,IMPLEMENT PHASE COMPLETE (GATE 2),Governance,Unassigned,Open/Active,4. Analyse & Design,Delay reason shown here,18/12/2026,18/12/2026,0,0.0%
Open/Active,0%,Project 165,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Open/Active,5. Build & Test,Delay reason shown here,14/08/2026,14/08/2026,0,0.0%
Open/Active,0%,Project 165,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Open/Active,5. Build & Test,Delay reason shown here,21/08/2026,21/08/2026,0,0.0%
Open/Active,0%,Project 165,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Open/Active,5. Build & Test,Delay reason shown here,28/08/2026,28/08/2026,0,0.0%
Open/Active,-25% to -10%,Project 92,EVALUATE PHASE COMPLETE (GATE 1),Governance,Project Kickoff,Open/Active,3. Evaluate,Delay reason shown here,01/04/2025,20/12/2024,-61,-15.0%
Open/Active,0%,Project 151,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Open/Active,5. Build & Test,Delay reason shown here,18/06/2027,18/06/2027,0,0.0%
Open/Active,0%,Project 151,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Open/Active,5. Build & Test,Delay reason shown here,11/06/2027,11/06/2027,0,0.0%
Open/Active,0%,Project 151,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Open/Active,5. Build & Test,Delay reason shown here,25/06/2027,25/06/2027,0,0.0%
Open/Active,0%,Project 151,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Open/Active,5. Build & Test,Delay reason shown here,30/06/2027,30/06/2027,0,0.0%
Open/Active,-25% to -10%,Project 108,3.06 Business Requirements Document Sign Off,Deliverable,Project Kickoff,Open/Active,3. Evaluate,Delay reason shown here,01/04/2025,31/01/2025,-43,-13.8%
